Language,FLORES-200 code,IETF
Belarusian,bel_Cyrl,be
Bosnian,bos_Latn,bs
Bulgarian,bul_Cyrl,bg
Czech,ces_Latn,cs
English,eng_Latn,en
Estonian,est_Latn,et
Basque,eus_Latn,eu
Finnish,fin_Latn,fi
French,fra_Latn,fr
Scottish Gaelic,gla_Latn,gd
Irish,gle_Latn,ga
Hebrew,heb_Hebr,he
Hindi,hin_Deva,hi
Croatian,hrv_Latn,hr
Hungarian,hun_Latn,hu
Armenian,hye_Armn,hy
Icelandic,isl_Latn,is
Italian,ita_Latn,it
Japanese,jpn_Jpan,ja
Georgian,kat_Geor,ka
Kazakh,kaz_Cyrl,kk
Korean,kor_Hang,ko
Lithuanian,lit_Latn,lt
Luxembourgish,ltz_Latn,lb
Standard Latvian,lvs_Latn,lv
Macedonian,mkd_Cyrl,mk
Norwegian Nynorsk,nno_Latn,nn
Polish,pol_Latn,pl
Portuguese,por_Latn,pt
Romanian,ron_Latn,ro
Russian,rus_Cyrl,ru
Sanskrit,san_Deva,sa
Slovak,slk_Latn,sk
Slovenian,slv_Latn,sl
Spanish,spa_Latn,es
Tosk Albanian,als_Latn,sq
Serbian,srp_Cyrl,sr
Swedish,swe_Latn,sv
Thai,tha_Thai,th
Turkish,tur_Latn,tr
Ukrainian,ukr_Cyrl,uk
Vietnamese,vie_Latn,vi
Chinese (Simplified),zho_Hans,zh-hans
Chinese (Traditional),zho_Hant,zh-hant